kierunek,uczelnia,obszarNauk,inżynierski,licencjacki,jezykWykladowy,elektrycznosc,chemia,programowanie,prawo,rysunek,urzedy,budowy,mechanikaMaszyn,biologia,ekologia,energetyka,fizyka,mapy,przemysł,bank,zarządzanie,funMundurowy,historia,wykopaliska,dzienikarstwo,język,religia,dzieloSztuki,polityka,zachowaniaCzlowieka,StrSpoleczenstwa,pomocLudziom,nauczyciel,dokumenty
administracja,Politechnika Warszawska,ekonomiczny,0,1,polski,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,1,1,0,1
architektura ,Politechnika Warszawska,ścisły,1,0,polski,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
automatyka i robotyka,Politechnika Warszawska,ścisły,1,0,polski,1,0,1,0,1,0,0,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
biogospodarka,Politechnika Warszawska,ścisły,1,0,polski,0,1,0,2,0,2,1,0,1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
biotechnologia,Politechnika Warszawska,ścisły,1,0,polski,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
budwnictwo,Politechnika Warszawska,ścisły,1,0,polski,0,2,0,0,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
elektronika,Politechnika Warszawska,ścisły,1,0,polski,1,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elektrotechnika,Politechnika Warszawska,ścisły,1,0,polski,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energetyka,Politechnika Warszawska,ścisły,1,0,polski,1,0,0,0,1,0,1,0,0,2,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
fizyka techniczna ,Politechnika Warszawska,ścisły,1,0,polski,2,2,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
